,uf,municipio,longitude,latitude
426,BA,Lajedo do Tabocal,-40.220429,-13.466286
427,BA,Lajedão,-40.338307,-17.605641
428,BA,Lamarão,-38.887009,-11.773013
429,BA,Lapão,-41.828615,-11.385096
430,BA,Lauro de Freitas,-38.321008,-12.8978
431,BA,Lençóis,-41.392825,-12.561604
432,BA,Licínio de Almeida,-42.509527,-14.684215
433,BA,Livramento de Nossa Senhora,-41.843187,-13.636868
434,BA,Luis Eduardo Magalhaes,-45.786555,-12.095638
435,BA,Macajuba,-40.357058,-12.132592
436,BA,Macarani,-40.420888,-15.564563
437,BA,Macaúbas,-42.694515,-13.018601
438,BA,Macururé,-39.051784,-9.162258
439,BA,Madre de Deus,-38.615316,-12.744621
440,BA,Maetinga,-41.49146,-14.662335
441,BA,Maiquinique,-40.258722,-15.623985
442,BA,Mairi,-40.143732,-11.710704
443,BA,Malhada,-43.768634,-14.337134
444,BA,Malhada de Pedras,-41.88422,-14.384673
445,BA,Manoel Vitorino,-40.239895,-14.147617
446,BA,Mansidão,-44.042798,-10.722707
447,BA,Maracás,-40.432333,-13.435468
448,BA,Maragogipe,-38.917519,-12.77602
449,BA,Maraú,-39.013656,-14.103549
450,BA,Marcionílio Souza,-40.529457,-13.006437
451,BA,Mascote,-39.301602,-15.554159
452,BA,Mata de São João,-38.300898,-12.530685
453,BA,Matina,-42.843914,-13.910917
454,BA,Medeiros Neto,-40.223776,-17.370676
455,BA,Miguel Calmon,-40.603084,-11.429891
456,BA,Milagres,-39.861092,-12.864635
457,BA,Mirangaba,-40.573996,-10.960983
458,BA,Mirante,-40.771799,-14.238469
459,BA,Monte Santo,-39.332077,-10.437413
460,BA,Morpará,-43.276566,-11.556892
461,BA,Morro do Chapéu,-41.156461,-11.548804
462,BA,Mortugaba,-42.372663,-15.022454
463,BA,Mucugê,-41.370271,-13.0053
464,BA,Mucuri,-39.556467,-18.075392
465,BA,Mulungu do Morro,-41.637352,-11.964776
466,BA,Mundo Novo,-40.47139,-11.85408
467,BA,Muniz Ferreira,-39.109247,-13.009227
468,BA,Muquém de São Francisco,-43.543808,-12.063376
469,BA,Muritiba,-38.992052,-12.632901
470,BA,Mutuípe,-39.504367,-13.228381
471,BA,Nazaré,-39.010835,-13.023491
472,BA,Nilo Peçanha,-39.109111,-13.603992
473,BA,Nordestina,-39.429705,-10.819169
474,BA,Nova Canaã,-40.1458,-14.791242
475,BA,Nova Fátima,-39.630215,-11.603116
476,BA,Nova Ibiá,-39.618174,-13.811995
477,BA,Nova Itarana,-40.065267,-13.024055
478,BA,Nova Redenção,-41.074785,-12.815001
479,BA,Nova Soure,-38.487103,-11.232948
480,BA,Nova Viçosa,-39.374331,-17.892648
481,BA,Novo Horizonte,-42.168172,-12.808318
482,BA,Novo Triunfo,-38.401374,-10.318235
483,BA,Olindina,-38.337863,-11.349693
484,BA,Oliveira dos Brejinhos,-42.896872,-12.313183
485,BA,Ouriçangas,-38.616624,-12.017497
486,BA,Ourolândia,-41.075576,-10.957848
487,BA,Palmas de Monte Alto,-43.16086,-14.267562
488,BA,Palmeiras,-41.580886,-12.505865
489,BA,Paramirim,-42.239502,-13.438849
490,BA,Paratinga,-43.179794,-12.686974
491,BA,Paripiranga,-37.862561,-10.685885
492,BA,Pau Brasil,-39.645794,-15.457226
493,BA,Paulo Afonso,-38.22156,-9.398296
494,BA,Pedro Alexandre,-37.893178,-10.012005
495,BA,Pedrão,-38.648715,-12.14914
496,BA,Piatã,-41.770177,-13.146549
497,BA,Pilão Arcado,-42.493607,-10.005079
498,BA,Pindaí,-42.685984,-14.492128
499,BA,Pindobaçu,-40.367472,-10.743338
500,BA,Pintadas,-39.900859,-11.811712
501,BA,Piraí do Norte,-39.383592,-13.758962
502,BA,Piripá,-41.716841,-14.944379
503,BA,Piritiba,-40.558739,-11.730008
504,BA,Planaltino,-40.369519,-13.261789
505,BA,Planalto,-40.471843,-14.66537
506,BA,Pojuca,-38.337436,-12.430336
507,BA,Ponto Novo,-40.131144,-10.8653
508,BA,Porto Seguro,-39.064251,-16.443473
509,BA,Potiraguá,-39.863846,-15.59429
510,BA,Poções,-40.363354,-14.523391
511,BA,Prado,-39.222721,-17.336357
512,BA,Presidente Dutra,-41.984341,-11.292345
513,BA,Presidente Jânio Quadros,-41.679792,-14.688485
514,BA,Presidente Tancredo Neves,-39.420267,-13.447064
515,BA,Pé de Serra,-39.611037,-11.831289
516,BA,Queimadas,-39.629347,-10.973561
517,BA,Quijingue,-39.213694,-10.750519
518,BA,Quixabeira,-40.120045,-11.403061
519,BA,Rafael Jambeiro,-39.500658,-12.405257
520,BA,Remanso,-42.084839,-9.61944
521,BA,Retirolândia,-39.423358,-11.483198
522,BA,Riacho de Santana,-42.939675,-13.605941
523,BA,Riachão das Neves,-44.914259,-11.750755
524,BA,Riachão do Jacuípe,-39.381812,-11.806681
525,BA,Ribeira do Amparo,-38.424211,-11.042071
